model,tier,n_unanswerable,n_answerable,unans_direct,unans_dodge,unans_refusal,unans_hedged,ans_direct,ans_dodge,ans_refusal,ans_hedged
claude-3.5-haiku,frontier,30,30,0.0,0.8666666666666667,0.1,0.03333333333333333,0.4,0.5666666666666667,0.03333333333333333,0.0
gpt-4o-mini,frontier,30,30,0.0,0.9666666666666667,0.03333333333333333,0.0,0.36666666666666664,0.6333333333333333,0.0,0.0
llama-3.1-8b,small_open,30,30,0.0,0.9666666666666667,0.03333333333333333,0.0,0.4,0.5333333333333333,0.03333333333333333,0.03333333333333333
