model,tier,chi2,p,cramers_v
claude-3.5-haiku,frontier,15.883720930232558,0.0011979582670636306,0.5145179123903683
gpt-4o-mini,frontier,,1.0,
llama-3.1-8b,small_open,16.755555555555556,0.0007934430316393051,0.5284498644708495
