model,tier,outcome,n,a_both_pos,b_only_unknowable_pos,c_only_knowable_pos,d_both_neg,rate_knowable,rate_unknowable,diff,mcnemar_stat,p_value,p_bonferroni
claude-3.5-haiku,frontier,unsatisfactory,60,2,14,6,38,0.13333333333333333,0.26666666666666666,0.13333333333333333,6.0,0.11531829833984375,0.5765914916992188
deepseek-r1-70b,reasoning,unsatisfactory,60,2,14,4,40,0.1,0.26666666666666666,0.16666666666666666,4.0,0.0308837890625,0.1544189453125
gpt-4o-mini,frontier,unsatisfactory,60,5,17,0,38,0.08333333333333333,0.36666666666666664,0.2833333333333333,0.0,1.52587890625e-05,7.62939453125e-05
llama-3.1-70b,large_open,unsatisfactory,60,2,17,9,32,0.18333333333333332,0.31666666666666665,0.13333333333333333,9.0,0.16863754391670227,0.8431877195835114
llama-3.1-8b,small_open,unsatisfactory,60,5,21,5,29,0.16666666666666666,0.43333333333333335,0.26666666666666666,5.0,0.002493917942047119,0.012469589710235596
