model,tier,n,intent_acc_unknowable,dodge_rate_unknowable,unsat_rate_unknowable,strategic_gap_dodge
claude-3.5-haiku,frontier,60,1.0,0.016666666666666666,0.26666666666666666,0.01666666666666672
deepseek-r1-70b,reasoning,60,1.0,0.016666666666666666,0.26666666666666666,0.01666666666666672
gpt-4o-mini,frontier,60,1.0,0.016666666666666666,0.36666666666666664,0.01666666666666672
llama-3.1-70b,large_open,60,1.0,0.03333333333333333,0.31666666666666665,0.033333333333333326
llama-3.1-8b,small_open,60,0.9833333333333333,0.05,0.43333333333333335,0.033333333333333326
