model,tier,dodge_rate_knowable,dodge_rate_unknowable,SII_dodge,unsat_rate_knowable,unsat_rate_unknowable,SII_unsat,n_knowable,n_unknowable
gpt-4o-mini,frontier,0.0,0.016666666666666666,0.016666666666666666,0.08333333333333333,0.36666666666666664,0.2833333333333333,60,60
llama-3.1-8b,small_open,0.016666666666666666,0.05,0.03333333333333334,0.16666666666666666,0.43333333333333335,0.2666666666666667,60,60
deepseek-r1-70b,reasoning,0.016666666666666666,0.016666666666666666,0.0,0.1,0.26666666666666666,0.16666666666666666,60,60
claude-3.5-haiku,frontier,0.016666666666666666,0.016666666666666666,0.0,0.13333333333333333,0.26666666666666666,0.13333333333333333,60,60
llama-3.1-70b,large_open,0.0,0.03333333333333333,0.03333333333333333,0.18333333333333332,0.31666666666666665,0.13333333333333333,60,60
